Region,Variable,Category,Base_Value,Exp_2pct,Exp_5pct,Exp_10pct,Chg_2pct,Chg_5pct,Chg_10pct,PctChg_2pct,PctChg_5pct,PctChg_10pct
AUS,SAVE,Welfare,-8872.5469,-8871.7568,-8870.6055,-8868.7012,0.7900,1.9414,3.8457,-0.008904,-0.021881,-0.043344
AUT,SAVE,Welfare,771823.0000,771849.1875,771884.8750,771936.4375,26.1875,61.8750,113.4375,0.003393,0.008017,0.014697
BEL,SAVE,Welfare,88079.8125,88083.4531,88088.4219,88095.8672,3.6406,8.6094,16.0547,0.004133,0.009775,0.018227
BGD,SAVE,Welfare,29305.5938,29306.3711,29307.4590,29309.0938,0.7773,1.8652,3.5000,0.002653,0.006365,0.011943
BGR,SAVE,Welfare,32084.1660,32084.9883,32086.1348,32087.7754,0.8223,1.9688,3.6094,0.002563,0.006136,0.011250
BRA,SAVE,Welfare,-19955.4062,-19956.6230,-19958.3145,-19960.8047,-1.2168,-2.9082,-5.3984,0.006098,0.014574,0.027053
CAN,SAVE,Welfare,25137.0000,25137.2148,25137.4922,25137.8672,0.2148,0.4922,0.8672,0.000855,0.001958,0.003450
CHE,SAVE,Welfare,-48501.4688,-48506.0508,-48512.3711,-48521.8711,-4.5820,-10.9023,-20.4023,0.009447,0.022478,0.042065
CHL,SAVE,Welfare,338559.6250,338581.0000,338610.4688,338654.3750,21.3750,50.8438,94.7500,0.006314,0.015018,0.027986
CHN,SAVE,Welfare,-31546.6094,-31550.0625,-31554.8750,-31562.1738,-3.4531,-8.2656,-15.5645,0.010946,0.026201,0.049338
CYP,SAVE,Welfare,2069.7246,2069.3740,2068.8958,2068.1895,-0.3506,-0.8289,-1.5352,-0.016939,-0.040047,-0.074172
CZE,SAVE,Welfare,-112921.8750,-112668.8750,-112322.0156,-111810.5078,253.0000,599.8594,1111.3672,-0.224049,-0.531216,-0.984191
DEU,SAVE,Welfare,24665.8281,24665.5469,24665.1484,24664.5391,-0.2812,-0.6797,-1.2891,-0.001140,-0.002756,-0.005226
DNK,SAVE,Welfare,28692.8750,28692.5938,28692.1875,28691.5684,-0.2812,-0.6875,-1.3066,-0.000980,-0.002396,-0.004554
ESP,SAVE,Welfare,1577.4219,1577.4825,1577.5669,1577.6914,0.0607,0.1450,0.2695,0.003846,0.009193,0.017087
EST,SAVE,Welfare,7870.5781,7870.4907,7870.3413,7870.0503,-0.0874,-0.2368,-0.5278,-0.001110,-0.003009,-0.006706
FIN,SAVE,Welfare,2981.2734,2980.8965,2980.3315,2979.4014,-0.3770,-0.9419,-1.8721,-0.012644,-0.031594,-0.062794
